minute,output
1013,0.2726166656970093
1014,0.26937282457438955
1015,0.26613323966590624
1016,0.2628979350191164
1017,0.2596669346815751
1018,0.2564402627008382
1019,0.2532179431244607
1020,0.25
1021,0.24678652292224204
1022,0.24357786367489703
1023,0.24037443958890836
1024,0.23717666799521728
1025,0.2339849662247657
1026,0.23079975160849486
1027,0.2276214414773481
1028,0.2244504531622667
1029,0.2212872039941926
1030,0.21813211130406704
1031,0.2149855924228333
1032,0.2118480646814327
1033,0.20871994541080713
1034,0.20560165194189792
1035,0.20249360160564825
1036,0.19939621173299948
1037,0.1963098996548929
1038,0.19323508270227172
1039,0.19017217820607724
1040,0.18712160349725138
1041,0.1840837759067355
1042,0.1810591127654728
1043,0.1780480314044046
1044,0.17505094915447272
1045,0.17206828334661864
1046,0.1691004513117855
1047,0.16614787038091458
1048,0.16321095788494783
1049,0.1602901311548266
1050,0.15738580752149406
1051,0.15449840431589154
1052,0.15162833886896038
1053,0.1487760285116437
1054,0.14594189057488285
1055,0.1431263423896198
1056,0.14032980128679587
1057,0.13755268459735426
1058,0.1347954096522362
1059,0.13205839378238368
1060,0.12934205431873808
1061,0.1266468085922425
1062,0.12397307393383833
1063,0.12132126767446742
1064,0.11869180714507126
1065,0.11608510967659286
1066,0.11350159259997357
1067,0.11094167324615486
1068,0.10840576894607974
1069,0.10589429703068955
1070,0.1034076748309263
1071,0.1009463196777314
1072,0.09851064890204783
1073,0.09610107983481696
1074,0.09371802980698081
1075,0.09136191614948076
1076,0.08903315619325979
1077,0.08673216726925935
1078,0.08445936670842134
1079,0.08221517184168725
1080,0.08
1081,0.07781419450836788
1082,0.07565780266806671
1083,0.07353079777444048
1084,0.07143315312283191
1085,0.06936484200858406
1086,0.06732583772703964
1087,0.0653161135735426
1088,0.06333564284343564
1089,0.06138439883206188
1090,0.059462354834764024
1091,0.057569484146885994
1092,0.0557057600637705
1093,0.05387115588076066
1094,0.05206564489319919
1095,0.05028920039642999
1096,0.04854179568579578
1097,0.04682340405663931
1098,0.04513399880430443
1099,0.04347355322413388
1100,0.04184204061147078
1101,0.04023943426165789
1102,0.03866570747003903
1103,0.03712083353195695
1104,0.03560478574275478
1105,0.03411753739777531
1106,0.03265906179236228
1107,0.03122933222185851
1108,0.029828321981607092
1109,0.02845600436695086
1110,0.0271123526732335
1111,0.02579734019579784
1112,0.024510940229986736
1113,0.023253126071143822
1114,0.022023871014611965
1115,0.02082314835573425
1116,0.01965093138985357
1117,0.01850719341231352
1118,0.017391907718456976
1119,0.01630504760362703
1120,0.015246586363166604
1121,0.014216497292419231
1122,0.013214753686727825
1123,0.012241328841435476
1124,0.011296196051885119
1125,0.010379328613420256
1126,0.0094906998213838
1127,0.008630282971118695
1128,0.0077980513579684165
1129,0.006993978277275888
1130,0.006218037024384224
1131,0.005470200894636386
1132,0.0047504431833758015
1133,0.004058737185945438
1134,0.0033950561976883735
1135,0.0027593735139476256
1136,0.0021516624300665596
1137,0.0015718962413881633
1138,0.0010200482432555374
1139,0.0004960917310117163
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
